"Codice";"Titolo";"Classificazione"
"46.16.03";"Attività di intermediari del commercio all'ingrosso di camicie, biancheria intima e articoli simili";"Sottocategoria"
"46.16.04";"Attività di intermediari del commercio all'ingrosso di altri articoli di abbigliamento e accessori per l'abbigliamento";"Sottocategoria"
"46.16.05";"Attività di intermediari del commercio all'ingrosso di pellicce";"Sottocategoria"
"46.16.06";"Attività di intermediari del commercio all'ingrosso di calzature";"Sottocategoria"
"46.16.07";"Attività di intermediari del commercio all'ingrosso di articoli in pelle e articoli da viaggio";"Sottocategoria"
"46.17";"Attività di intermediari del commercio all'ingrosso di prodotti alimentari, bevande e tabacchi";"Classe"
"46.17.0";"Attività di intermediari del commercio all'ingrosso di prodotti alimentari, bevande e tabacchi";"Categoria"
"46.17.01";"Attività di intermediari del commercio all'ingrosso di frutta e ortaggi";"Sottocategoria"
"46.17.02";"Attività di intermediari del commercio all'ingrosso di carne e prodotti a base di carne";"Sottocategoria"
"46.17.03";"Attività di intermediari del commercio all'ingrosso di pesce e prodotti a base di pesce";"Sottocategoria"
"46.17.04";"Attività di intermediari del commercio all'ingrosso di latte e prodotti lattiero-caseari";"Sottocategoria"
"46.17.05";"Attività di intermediari del commercio all'ingrosso di oli e grassi alimentari";"Sottocategoria"
"46.17.06";"Attività di intermediari del commercio all'ingrosso di bevande";"Sottocategoria"
"46.17.07";"Attività di intermediari del commercio all'ingrosso di altri prodotti alimentari e tabacchi";"Sottocategoria"
"46.18";"Attività di intermediari del commercio all'ingrosso di altri prodotti specifici";"Classe"
"46.18.1";"Attività di intermediari del commercio all'ingrosso di prodotti farmaceutici e articoli medicali, profumi e articoli di profumeria e prodotti per la pulizia";"Categoria"
"46.18.11";"Attività di intermediari del commercio all'ingrosso di prodotti farmaceutici";"Sottocategoria"
"46.18.12";"Attività di intermediari del commercio all'ingrosso di articoli medicali";"Sottocategoria"
"46.18.13";"Attività di intermediari del commercio all'ingrosso di profumi e articoli di profumeria";"Sottocategoria"
"46.18.14";"Attività di intermediari del commercio all'ingrosso di prodotti per la pulizia";"Sottocategoria"
"46.18.2";"Attività di intermediari del commercio all'ingrosso di giochi e giocattoli, attrezzature sportive, orologi e gioielli, apparecchiature fotografiche e strumenti ottici";"Categoria"
"46.18.21";"Attività di intermediari del commercio all'ingrosso di giochi e giocattoli";"Sottocategoria"
"46.18.22";"Attività di intermediari del commercio all'ingrosso di biciclette";"Sottocategoria"
"46.18.23";"Attività di intermediari del commercio all'ingrosso di altre attrezzature sportive";"Sottocategoria"
"46.18.24";"Attività di intermediari del commercio all'ingrosso di orologi e gioielli";"Sottocategoria"
"46.18.25";"Attività di intermediari del commercio all'ingrosso di oggetti di bigiotteria";"Sottocategoria"
"46.18.26";"Attività di intermediari del commercio all'ingrosso di apparecchiature fotografiche e strumenti ottici";"Sottocategoria"
"46.18.3";"Attività di intermediari del commercio all'ingrosso di libri, giornali, riviste e articoli di cancelleria";"Categoria"
"46.18.31";"Attività di intermediari del commercio all'ingrosso di libri";"Sottocategoria"
"46.18.32";"Attività di intermediari del commercio all'ingrosso di giornali e riviste";"Sottocategoria"
"46.18.33";"Attività di intermediari del commercio all'ingrosso di articoli di cancelleria";"Sottocategoria"
"46.18.4";"Attività di intermediari del commercio all'ingrosso di automobili, altri autoveicoli e motocicli";"Categoria"
"46.18.41";"Attività di intermediari del commercio all'ingrosso di automobili e autoveicoli leggeri";"Sottocategoria"
"46.18.42";"Attività di intermediari del commercio all'ingrosso di altri autoveicoli";"Sottocategoria"
"46.18.43";"Attività di intermediari del commercio all'ingrosso di parti e accessori di autoveicoli";"Sottocategoria"
"46.18.44";"Attività di intermediari del commercio all'ingrosso di motocicli";"Sottocategoria"
"46.18.45";"Attività di intermediari del commercio all'ingrosso di parti e accessori di motocicli";"Sottocategoria"
"46.18.46";"Attività di intermediari del commercio all'ingrosso di materiale rotabile e di parti e accessori per materiale rotabile";"Sottocategoria"
"46.18.5";"Attività di intermediari del commercio all'ingrosso di apparecchiature audio e video";"Categoria"
"46.18.50";"Attività di intermediari del commercio all'ingrosso di apparecchiature audio e video";"Sottocategoria"
"46.18.9";"Attività di intermediari del commercio all'ingrosso di altri prodotti specifici n.c.a.";"Categoria"
"46.18.91";"Attività di intermediari del commercio all'ingrosso di rifiuti";"Sottocategoria"
"46.18.92";"Attività di intermediari del commercio all'ingrosso di rivestimenti per pareti e per pavimenti";"Sottocategoria"
"46.18.93";"Attività di intermediari del commercio all'ingrosso di strumenti musicali";"Sottocategoria"
"46.18.99";"Attività di intermediari del commercio all'ingrosso di altri prodotti specifici vari n.c.a.";"Sottocategoria"
"46.19";"Attività di intermediari del commercio all'ingrosso non specializzato";"Classe"
"46.19.0";"Attività di intermediari del commercio all'ingrosso non specializzato";"Categoria"
"46.19.00";"Attività di intermediari del commercio all'ingrosso non specializzato";"Sottocategoria"
"46.2";"Commercio all'ingrosso di materie prime agricole e animali vivi";"Gruppo"
"46.21";"Commercio all'ingrosso di cereali, tabacco grezzo, sementi e alimenti per il bestiame";"Classe"
"46.21.1";"Commercio all'ingrosso di cereali";"Categoria"
"46.21.10";"Commercio all'ingrosso di cereali";"Sottocategoria"
"46.21.2";"Commercio all'ingrosso di tabacco grezzo, sementi e alimenti per il bestiame";"Categoria"
"46.21.21";"Commercio all'ingrosso di tabacco grezzo";"Sottocategoria"
"46.21.22";"Commercio all'ingrosso di sementi e alimenti per il bestiame";"Sottocategoria"
"46.22";"Commercio all'ingrosso di fiori e piante";"Classe"
"46.22.0";"Commercio all'ingrosso di fiori e piante";"Categoria"
"46.22.00";"Commercio all'ingrosso di fiori e piante";"Sottocategoria"
"46.23";"Commercio all'ingrosso di animali vivi";"Classe"
"46.23.0";"Commercio all'ingrosso di animali vivi";"Categoria"
"46.23.00";"Commercio all'ingrosso di animali vivi";"Sottocategoria"
"46.24";"Commercio all'ingrosso di pelli e cuoio";"Classe"
"46.24.0";"Commercio all'ingrosso di pelli e cuoio";"Categoria"
"46.24.01";"Commercio all'ingrosso di pelli per pellicceria";"Sottocategoria"
"46.24.02";"Commercio all'ingrosso di pelli non per pellicceria e cuoio";"Sottocategoria"
"46.3";"Commercio all'ingrosso di prodotti alimentari, bevande e tabacchi";"Gruppo"
"46.31";"Commercio all'ingrosso di frutta e ortaggi";"Classe"
"46.31.1";"Commercio all'ingrosso di frutta e ortaggi freschi";"Categoria"
"46.31.10";"Commercio all'ingrosso di frutta e ortaggi freschi";"Sottocategoria"
"46.31.2";"Commercio all'ingrosso di frutta e ortaggi conservati o surgelati";"Categoria"
"46.31.20";"Commercio all'ingrosso di frutta e ortaggi conservati o surgelati";"Sottocategoria"
"46.32";"Commercio all'ingrosso di carne, prodotti a base di carne, pesce e prodotti a base di pesce";"Classe"
"46.32.1";"Commercio all'ingrosso di carne";"Categoria"
"46.32.11";"Commercio all'ingrosso di carni fresche";"Sottocategoria"
"46.32.12";"Commercio all'ingrosso di carni conservate o surgelate";"Sottocategoria"
"46.32.2";"Commercio all'ingrosso di salumi e di altri prodotti a base di carne";"Categoria"
"46.32.20";"Commercio all'ingrosso di salumi e di altri prodotti a base di carne";"Sottocategoria"
"46.32.3";"Commercio all'ingrosso di pesce";"Categoria"
"46.32.31";"Commercio all'ingrosso di pesci freschi";"Sottocategoria"
"46.32.32";"Commercio all'ingrosso di pesci conservati o surgelati e di prodotti a base di pesce";"Sottocategoria"
"46.33";"Commercio all'ingrosso di prodotti lattiero-caseari, uova, oli e grassi alimentari";"Classe"
"46.33.1";"Commercio all'ingrosso di prodotti lattiero-caseari e uova";"Categoria"
"46.33.10";"Commercio all'ingrosso di prodotti lattiero-caseari e uova";"Sottocategoria"
"46.33.2";"Commercio all'ingrosso di oli e grassi alimentari";"Categoria"
"46.33.20";"Commercio all'ingrosso di oli e grassi alimentari";"Sottocategoria"
"46.34";"Commercio all'ingrosso di bevande";"Classe"
"46.34.1";"Commercio all'ingrosso di bevande alcoliche";"Categoria"
"46.34.10";"Commercio all'ingrosso di bevande alcoliche";"Sottocategoria"
"46.34.2";"Commercio all'ingrosso di bevande analcoliche";"Categoria"
"46.34.20";"Commercio all'ingrosso di bevande analcoliche";"Sottocategoria"
"46.35";"Commercio all'ingrosso di prodotti del tabacco";"Classe"
"46.35.0";"Commercio all'ingrosso di prodotti del tabacco";"Categoria"
"46.35.01";"Commercio all'ingrosso di sigarette elettroniche";"Sottocategoria"
"46.35.09";"Commercio all'ingrosso di prodotti del tabacco n.c.a.";"Sottocategoria"
"46.36";"Commercio all'ingrosso di zucchero, cioccolato e dolciumi";"Classe"
"46.36.0";"Commercio all'ingrosso di zucchero, cioccolato e dolciumi";"Categoria"
"46.36.00";"Commercio all'ingrosso di zucchero, cioccolato e dolciumi";"Sottocategoria"
"46.37";"Commercio all'ingrosso di caffè, tè, cacao e spezie";"Classe"
"46.37.0";"Commercio all'ingrosso di caffè, tè, cacao e spezie";"Categoria"
"46.37.01";"Commercio all'ingrosso di caffè";"Sottocategoria"
"46.37.02";"Commercio all'ingrosso di tè, cacao e spezie";"Sottocategoria"
"46.38";"Commercio all'ingrosso di altri prodotti alimentari";"Classe"
"46.38.0";"Commercio all'ingrosso di altri prodotti alimentari";"Categoria"
"46.38.00";"Commercio all'ingrosso di altri prodotti alimentari";"Sottocategoria"
"46.39";"Commercio all'ingrosso non specializzato di prodotti alimentari, bevande e tabacchi";"Classe"
"46.39.0";"Commercio all'ingrosso non specializzato di prodotti alimentari, bevande e tabacchi";"Categoria"
"46.39.00";"Commercio all'ingrosso non specializzato di prodotti alimentari, bevande e tabacchi";"Sottocategoria"
"46.4";"Commercio all'ingrosso di beni di consumo";"Gruppo"
"46.41";"Commercio all'ingrosso di prodotti tessili";"Classe"
"46.41.1";"Commercio all'ingrosso di tessuti";"Categoria"
"46.41.10";"Commercio all'ingrosso di tessuti";"Sottocategoria"
"46.41.2";"Commercio all'ingrosso di filati e articoli di merceria";"Categoria"
"46.41.20";"Commercio all'ingrosso di filati e articoli di merceria";"Sottocategoria"
"46.41.9";"Commercio all'ingrosso di altri prodotti tessili";"Categoria"
"46.41.90";"Commercio all'ingrosso di altri prodotti tessili";"Sottocategoria"
"46.42";"Commercio all'ingrosso di abbigliamento e di calzature";"Classe"
"46.42.1";"Commercio all'ingrosso di abbigliamento e di accessori per l'abbigliamento";"Categoria"
"46.42.10";"Commercio all'ingrosso di abbigliamento e di accessori per l'abbigliamento";"Sottocategoria"
"46.42.2";"Commercio all'ingrosso di articoli in pelliccia";"Categoria"
"46.42.20";"Commercio all'ingrosso di articoli in pelliccia";"Sottocategoria"
"46.42.3";"Commercio all'ingrosso di calzature";"Categoria"
"46.42.30";"Commercio all'ingrosso di calzature";"Sottocategoria"
"46.43";"Commercio all'ingrosso di elettrodomestici";"Classe"
"46.43.1";"Commercio all'ingrosso di articoli per fotografia e ottica";"Categoria"
"46.43.10";"Commercio all'ingrosso di articoli per fotografia e ottica";"Sottocategoria"
"46.43.2";"Commercio all'ingrosso di apparecchiature radiotelevisive";"Categoria"
"46.43.20";"Commercio all'ingrosso di apparecchiature radiotelevisive";"Sottocategoria"
"46.43.3";"Commercio all'ingrosso di altri elettrodomestici";"Categoria"
"46.43.30";"Commercio all'ingrosso di altri elettrodomestici";"Sottocategoria"
"46.44";"Commercio all'ingrosso di articoli di porcellana, di vetro e di prodotti per la pulizia";"Classe"
"46.44.1";"Commercio all'ingrosso di articoli di porcellana";"Categoria"
"46.44.10";"Commercio all'ingrosso di articoli di porcellana";"Sottocategoria"
"46.44.2";"Commercio all'ingrosso di articoli di vetro";"Categoria"
"46.44.20";"Commercio all'ingrosso di articoli di vetro";"Sottocategoria"
"46.44.3";"Commercio all'ingrosso di altri utensili per la casa, stoviglie e vasellame";"Categoria"
"46.44.30";"Commercio all'ingrosso di altri utensili per la casa, stoviglie e vasellame";"Sottocategoria"
"46.44.4";"Commercio all'ingrosso di prodotti per la pulizia";"Categoria"
"46.44.40";"Commercio all'ingrosso di prodotti per la pulizia";"Sottocategoria"
"46.45";"Commercio all'ingrosso di profumi e cosmetici";"Classe"
"46.45.0";"Commercio all'ingrosso di profumi e cosmetici";"Categoria"
"46.45.00";"Commercio all'ingrosso di profumi e cosmetici";"Sottocategoria"
"46.46";"Commercio all'ingrosso di prodotti farmaceutici e medicali";"Classe"
"46.46.1";"Commercio all'ingrosso di prodotti farmaceutici di base e di preparati farmaceutici";"Categoria"
"46.46.10";"Commercio all'ingrosso di prodotti farmaceutici di base e di preparati farmaceutici";"Sottocategoria"
"46.46.2";"Commercio all'ingrosso di rimedi erboristici";"Categoria"
"46.46.20";"Commercio all'ingrosso di rimedi erboristici";"Sottocategoria"
"46.46.3";"Commercio all'ingrosso di prodotti medicali e ortopedici";"Categoria"
"46.46.31";"Commercio all'ingrosso di occhiali e lenti";"Sottocategoria"
"46.46.39";"Commercio all'ingrosso di prodotti medicali e ortopedici n.c.a.";"Sottocategoria"
"46.47";"Commercio all'ingrosso di mobili, tappeti e articoli per l'illuminazione per la casa, l'ufficio e i negozi";"Classe"
"46.47.1";"Commercio all'ingrosso di mobili per la casa, l'ufficio e i negozi";"Categoria"
"46.47.10";"Commercio all'ingrosso di mobili per la casa, l'ufficio e i negozi";"Sottocategoria"
"46.47.2";"Commercio all'ingrosso di tappeti per la casa, l'ufficio e i negozi";"Categoria"
"46.47.20";"Commercio all'ingrosso di tappeti per la casa, l'ufficio e i negozi";"Sottocategoria"
"46.47.3";"Commercio all'ingrosso di articoli per l'illuminazione per la casa, l'ufficio e i negozi";"Categoria"
"46.47.30";"Commercio all'ingrosso di articoli per l'illuminazione per la casa, l'ufficio e i negozi";"Sottocategoria"
"46.48";"Commercio all'ingrosso di orologi e di gioielleria";"Classe"
"46.48.0";"Commercio all'ingrosso di orologi e di gioielleria";"Categoria"
"46.48.00";"Commercio all'ingrosso di orologi e di gioielleria";"Sottocategoria"
"46.49";"Commercio all'ingrosso di altri beni di consumo";"Classe"
"46.49.1";"Commercio all'ingrosso di carta, cartone e articoli di cartoleria";"Categoria"
"46.49.10";"Commercio all'ingrosso di carta, cartone e articoli di cartoleria";"Sottocategoria"
"46.49.2";"Commercio all'ingrosso di libri, riviste e giornali";"Categoria"
"46.49.21";"Commercio all'ingrosso di libri";"Sottocategoria"
"46.49.22";"Commercio all'ingrosso di riviste e giornali";"Sottocategoria"
"46.49.3";"Commercio all'ingrosso di giochi, giocattoli e attrezzature per bambini";"Categoria"
"46.49.30";"Commercio all'ingrosso di giochi, giocattoli e attrezzature per bambini";"Sottocategoria"
"46.49.4";"Commercio all'ingrosso di biciclette e altre attrezzature e articoli sportivi";"Categoria"
"46.49.41";"Commercio all'ingrosso di biciclette";"Sottocategoria"
"46.49.49";"Commercio all'ingrosso di altre attrezzature e articoli sportivi";"Sottocategoria"
"46.49.5";"Commercio all'ingrosso di articoli in pelle e articoli da viaggio";"Categoria"
"46.49.50";"Commercio all'ingrosso di articoli in pelle e articoli da viaggio";"Sottocategoria"
"46.49.9";"Commercio all'ingrosso di altri beni di consumo n.c.a.";"Categoria"
"46.49.91";"Commercio all'ingrosso di articoli promozionali";"Sottocategoria"
"46.49.92";"Commercio all'ingrosso di bomboniere";"Sottocategoria"
"46.49.99";"Commercio all'ingrosso di altri beni di consumo vari n.c.a.";"Sottocategoria"
"46.5";"Commercio all'ingrosso di apparecchiature informatiche e di comunicazione";"Gruppo"
"46.50";"Commercio all'ingrosso di apparecchiature informatiche e di comunicazione";"Classe"
"46.50.1";"Commercio all'ingrosso di computer, unità periferiche e software";"Categoria"
"46.50.10";"Commercio all'ingrosso di computer, unità periferiche e software";"Sottocategoria"
"46.50.2";"Commercio all'ingrosso di apparecchiature per telecomunicazioni";"Categoria"
"46.50.20";"Commercio all'ingrosso di apparecchiature per telecomunicazioni";"Sottocategoria"
"46.50.3";"Commercio all'ingrosso di altre macchine e attrezzature per ufficio";"Categoria"
"46.50.30";"Commercio all'ingrosso di altre macchine e attrezzature per ufficio";"Sottocategoria"
"46.6";"Commercio all'ingrosso di altri macchinari, attrezzature e forniture";"Gruppo"
"46.61";"Commercio all'ingrosso di macchinari, attrezzature e forniture agricole";"Classe"
"46.61.0";"Commercio all'ingrosso di macchinari, attrezzature e forniture agricole";"Categoria"
"46.61.00";"Commercio all'ingrosso di macchinari, attrezzature e forniture agricole";"Sottocategoria"
"46.62";"Commercio all'ingrosso di macchine utensili";"Classe"
"46.62.0";"Commercio all'ingrosso di macchine utensili";"Categoria"
"46.62.00";"Commercio all'ingrosso di macchine utensili";"Sottocategoria"
"46.63";"Commercio all'ingrosso di macchinari per l'estrazione, l'edilizia e l'ingegneria civile";"Classe"
"46.63.0";"Commercio all'ingrosso di macchinari per l'estrazione, l'edilizia e l'ingegneria civile";"Categoria"
"46.63.00";"Commercio all'ingrosso di macchinari per l'estrazione, l'edilizia e l'ingegneria civile";"Sottocategoria"
"46.64";"Commercio all'ingrosso di altri macchinari e attrezzature";"Classe"
"46.64.1";"Commercio all'ingrosso di mezzi di trasporto";"Categoria"
"46.64.11";"Commercio all'ingrosso di navi e imbarcazioni";"Sottocategoria"
"46.64.19";"Commercio all'ingrosso di altri mezzi di trasporto";"Sottocategoria"
"46.64.2";"Commercio all'ingrosso di materiale elettrico per impianti industriali";"Categoria"
"46.64.20";"Commercio all'ingrosso di materiale elettrico per impianti industriali";"Sottocategoria"
"46.64.3";"Commercio all'ingrosso di attrezzature per parrucchieri, palestre, solarium e centri estetici";"Categoria"
"46.64.30";"Commercio all'ingrosso di attrezzature per parrucchieri, palestre, solarium e centri estetici";"Sottocategoria"
"46.64.4";"Commercio all'ingrosso di macchine tessili, per la lavorazione delle pelli e del cuoio, per lavanderie e stirerie";"Categoria"
"46.64.40";"Commercio all'ingrosso di macchine tessili, per la lavorazione delle pelli e del cuoio, per lavanderie e stirerie";"Sottocategoria"
"46.64.5";"Commercio all'ingrosso di macchinari per l'industria alimentare e delle bevande";"Categoria"
"46.64.51";"Commercio all'ingrosso di macchine e attrezzature per ristoranti e bar";"Sottocategoria"
"46.64.59";"Commercio all'ingrosso di altri macchinari per l'industria alimentare e delle bevande";"Sottocategoria"
"46.64.6";"Commercio all'ingrosso di macchinari e attrezzature per la pulizia";"Categoria"
"46.64.60";"Commercio all'ingrosso di macchinari e attrezzature per la pulizia";"Sottocategoria"
"46.64.9";"Commercio all'ingrosso di altri macchinari e attrezzature n.c.a.";"Categoria"
"46.64.91";"Commercio all'ingrosso di strumenti e apparecchiature di misurazione";"Sottocategoria"
"46.64.92";"Commercio all'ingrosso di attrazioni per parchi divertimento e parchi tematici e videogiochi";"Sottocategoria"
"46.64.99";"Commercio all'ingrosso di altri macchinari e attrezzature varie n.c.a.";"Sottocategoria"
"46.7";"Commercio all'ingrosso di autoveicoli, motocicli e relative parti e accessori";"Gruppo"
"46.71";"Commercio all'ingrosso di autoveicoli";"Classe"
"46.71.1";"Commercio all'ingrosso di automobili e autoveicoli leggeri";"Categoria"
"46.71.10";"Commercio all'ingrosso di automobili e autoveicoli leggeri";"Sottocategoria"
"46.71.2";"Commercio all'ingrosso di altri autoveicoli";"Categoria"
"46.71.20";"Commercio all'ingrosso di altri autoveicoli";"Sottocategoria"
"46.72";"Commercio all'ingrosso di parti e accessori di autoveicoli";"Classe"
"46.72.0";"Commercio all'ingrosso di parti e accessori di autoveicoli";"Categoria"
"46.72.00";"Commercio all'ingrosso di parti e accessori di autoveicoli";"Sottocategoria"
"46.73";"Commercio all'ingrosso di motocicli, parti e accessori di motocicli";"Classe"
"46.73.1";"Commercio all'ingrosso di motocicli";"Categoria"
"46.73.10";"Commercio all'ingrosso di motocicli";"Sottocategoria"
"46.73.2";"Commercio all'ingrosso di parti e accessori di motocicli";"Categoria"
"46.73.20";"Commercio all'ingrosso di parti e accessori di motocicli";"Sottocategoria"
"46.8";"Commercio all'ingrosso specializzato di altri prodotti";"Gruppo"
"46.81";"Commercio all'ingrosso di combustibili solidi, liquidi, gassosi e di prodotti derivati";"Classe"
"46.81.0";"Commercio all'ingrosso di combustibili solidi, liquidi, gassosi e di prodotti derivati";"Categoria"
"46.81.00";"Commercio all'ingrosso di combustibili solidi, liquidi, gassosi e di prodotti derivati";"Sottocategoria"
"46.82";"Commercio all'ingrosso di metalli e minerali metalliferi";"Classe"
"46.82.1";"Commercio all'ingrosso di metalli e minerali metalliferi ferrosi";"Categoria"
"46.82.10";"Commercio all'ingrosso di metalli e minerali metalliferi ferrosi";"Sottocategoria"
"46.82.2";"Commercio all'ingrosso di metalli e minerali metalliferi non ferrosi";"Categoria"
"46.82.21";"Attività di compro oro";"Sottocategoria"
"46.82.29";"Commercio all'ingrosso di altri metalli e minerali metalliferi non ferrosi";"Sottocategoria"
"46.83";"Commercio all'ingrosso di legname, materiali da costruzione e articoli igienico-sanitari";"Classe"
"46.83.1";"Commercio all'ingrosso di legname";"Categoria"
"46.83.10";"Commercio all'ingrosso di legname";"Sottocategoria"
"46.83.2";"Commercio all'ingrosso di materiali da costruzione";"Categoria"
"46.83.21";"Commercio all'ingrosso di pitture, vernici e lacche";"Sottocategoria"
"46.83.22";"Commercio all'ingrosso di carta da parati e rivestimenti per pavimenti";"Sottocategoria"
"46.83.23";"Commercio all'ingrosso di porte, finestre e persiane";"Sottocategoria"
"46.83.29";"Commercio all'ingrosso di altri materiali da costruzione";"Sottocategoria"
"46.83.3";"Commercio all'ingrosso di articoli igienico-sanitari";"Categoria"
"46.83.30";"Commercio all'ingrosso di articoli igienico-sanitari";"Sottocategoria"
"46.84";"Commercio all'ingrosso di ferramenta, di apparecchi e accessori per impianti idraulici e di riscaldamento";"Classe"
"46.84.1";"Commercio all'ingrosso di ferramenta";"Categoria"
"46.84.10";"Commercio all'ingrosso di ferramenta";"Sottocategoria"
"46.84.2";"Commercio all'ingrosso di apparecchi e accessori per impianti idraulici e di riscaldamento";"Categoria"
"46.84.20";"Commercio all'ingrosso di apparecchi e accessori per impianti idraulici e di riscaldamento";"Sottocategoria"
"46.85";"Commercio all'ingrosso di prodotti chimici";"Classe"
"46.85.0";"Commercio all'ingrosso di prodotti chimici";"Categoria"
"46.85.01";"Commercio all'ingrosso di fertilizzanti e altri prodotti chimici per l'agricoltura";"Sottocategoria"
"46.85.02";"Commercio all'ingrosso di liquidi per inalazione per sigarette elettroniche";"Sottocategoria"
"46.85.09";"Commercio all'ingrosso di altri prodotti chimici";"Sottocategoria"
"46.86";"Commercio all'ingrosso di altri prodotti intermedi";"Classe"
"46.86.1";"Commercio all'ingrosso di materie plastiche in forme primarie e gomma";"Categoria"
"46.86.10";"Commercio all'ingrosso di materie plastiche in forme primarie e gomma";"Sottocategoria"
"46.86.2";"Commercio all'ingrosso di fibre tessili";"Categoria"
"46.86.20";"Commercio all'ingrosso di fibre tessili";"Sottocategoria"
"46.86.3";"Commercio all'ingrosso di articoli per imballaggio";"Categoria"
"46.86.30";"Commercio all'ingrosso di articoli per imballaggio";"Sottocategoria"
"46.86.9";"Commercio all'ingrosso di altri prodotti intermedi n.c.a.";"Categoria"
"46.86.90";"Commercio all'ingrosso di altri prodotti intermedi n.c.a.";"Sottocategoria"
"46.87";"Commercio all'ingrosso di rottami e cascami";"Classe"
"46.87.1";"Commercio all'ingrosso di rottami e cascami metallici";"Categoria"
"46.87.10";"Commercio all'ingrosso di rottami e cascami metallici";"Sottocategoria"
"46.87.9";"Commercio all'ingrosso di altri rottami e cascami";"Categoria"
"46.87.90";"Commercio all'ingrosso di altri rottami e cascami";"Sottocategoria"
"46.89";"Commercio all'ingrosso specializzato di altri prodotti n.c.a.";"Classe"
"46.89.0";"Commercio all'ingrosso specializzato di altri prodotti n.c.a.";"Categoria"
"46.89.00";"Commercio all'ingrosso specializzato di altri prodotti n.c.a.";"Sottocategoria"
"46.9";"Commercio all'ingrosso non specializzato";"Gruppo"
"46.90";"Commercio all'ingrosso non specializzato";"Classe"
"46.90.0";"Commercio all'ingrosso non specializzato";"Categoria"
"46.90.00";"Commercio all'ingrosso non specializzato";"Sottocategoria"
"47";"Commercio al dettaglio";"Divisione"
"47.1";"Commercio al dettaglio non specializzato";"Gruppo"
"47.11";"Commercio al dettaglio non specializzato con prevalenza di prodotti alimentari, bevande o tabacchi";"Classe"
"47.11.0";"Commercio al dettaglio non specializzato con prevalenza di prodotti alimentari, bevande o tabacchi";"Categoria"
"47.11.01";"Commercio al dettaglio non specializzato con prevalenza di prodotti alimentari surgelati";"Sottocategoria"
"47.11.02";"Commercio al dettaglio non specializzato con prevalenza di altri prodotti alimentari, bevande o tabacchi";"Sottocategoria"
"47.12";"Commercio al dettaglio non specializzato di altri prodotti";"Classe"
"47.12.1";"Commercio al dettaglio non specializzato con prevalenza di apparecchiature informatiche ed elettrodomestici";"Categoria"
"47.12.10";"Commercio al dettaglio non specializzato con prevalenza di apparecchiature informatiche ed elettrodomestici";"Sottocategoria"
"47.12.2";"Commercio al dettaglio non specializzato con prevalenza di mobili e articoli per uso domestico";"Categoria"
"47.12.20";"Commercio al dettaglio non specializzato con prevalenza di mobili e articoli per uso domestico";"Sottocategoria"
"47.12.3";"Commercio al dettaglio non specializzato con prevalenza di ferramenta, materiali da costruzione e piante";"Categoria"
"47.12.30";"Commercio al dettaglio non specializzato con prevalenza di ferramenta, materiali da costruzione e piante";"Sottocategoria"
"47.12.4";"Commercio al dettaglio non specializzato con prevalenza di cosmetici, articoli di profumeria e detersivi, articoli di cancelleria e giochi";"Categoria"
"47.12.40";"Commercio al dettaglio non specializzato con prevalenza di cosmetici, articoli di profumeria e detersivi, articoli di cancelleria e giochi";"Sottocategoria"
"47.12.5";"Commercio al dettaglio non specializzato con prevalenza di articoli di abbigliamento e calzature";"Categoria"
"47.12.50";"Commercio al dettaglio non specializzato con prevalenza di articoli di abbigliamento e calzature";"Sottocategoria"
"47.12.9";"Commercio al dettaglio non specializzato di altri prodotti n.c.a.";"Categoria"
"47.12.90";"Commercio al dettaglio non specializzato di altri prodotti n.c.a.";"Sottocategoria"
"47.2";"Commercio al dettaglio di prodotti alimentari, bevande e tabacchi";"Gruppo"
"47.21";"Commercio al dettaglio di frutta e verdura";"Classe"
"47.21.0";"Commercio al dettaglio di frutta e verdura";"Categoria"
"47.21.01";"Commercio al dettaglio di frutta e verdura fresca";"Sottocategoria"
"47.21.02";"Commercio al dettaglio di frutta e verdura secca e conservata";"Sottocategoria"
"47.22";"Commercio al dettaglio di carne e di prodotti a base di carne";"Classe"
"47.22.0";"Commercio al dettaglio di carne e di prodotti a base di carne";"Categoria"
"47.22.00";"Commercio al dettaglio di carne e di prodotti a base di carne";"Sottocategoria"
"47.23";"Commercio al dettaglio di pesce, crostacei e molluschi";"Classe"
"47.23.0";"Commercio al dettaglio di pesce, crostacei e molluschi";"Categoria"
"47.23.00";"Commercio al dettaglio di pesce, crostacei e molluschi";"Sottocategoria"
"47.24";"Commercio al dettaglio di pane, pasticceria e dolciumi";"Classe"
"47.24.1";"Commercio al dettaglio di pane";"Categoria"
"47.24.10";"Commercio al dettaglio di pane";"Sottocategoria"
"47.24.2";"Commercio al dettaglio di pasticceria e dolciumi";"Categoria"
"47.24.20";"Commercio al dettaglio di pasticceria e dolciumi";"Sottocategoria"
"47.25";"Commercio al dettaglio di bevande";"Classe"
"47.25.0";"Commercio al dettaglio di bevande";"Categoria"
"47.25.00";"Commercio al dettaglio di bevande";"Sottocategoria"
"47.26";"Commercio al dettaglio di prodotti del tabacco";"Classe"
"47.26.0";"Commercio al dettaglio di prodotti del tabacco";"Categoria"
"47.26.01";"Commercio al dettaglio di tabacco in qualsiasi forma";"Sottocategoria"
"47.26.02";"Commercio al dettaglio di sigarette elettroniche e di liquidi per inalazione per sigarette elettroniche";"Sottocategoria"
"47.26.09";"Commercio al dettaglio di altri accessori per fumatori";"Sottocategoria"
